Pref,Class,Monthly,Lower,Upper,保険料_介護保険2号非該当_全額,保険料_介護保険2号非該当_折半額,保険料_介護保険2号該当_全額,保険料_介護保険2号該当_折半額
宮城,44,1030000,1005000,1055000,103103,51552,119583,59792
宮城,45,1090000,1055000,1115000,109109,54554,126549,63274
宮城,46,1150000,1115000,1175000,115115,57558,133515,66758
宮城,47,1210000,1175000,1235000,121121,60560,140481,70240
宮城,48,1270000,1235000,1295000,127127,63564,147447,73724
宮城,49,1330000,1295000,1355000,133133,66566,154413,77206
宮城,50,1390000,1355000,NA,139139,69570,161379,80690
秋田,1,58000,NA,63000,5713,2856,6641,3320
秋田,2,68000,63000,73000,6698,3349,7786,3893
秋田,3,78000,73000,83000,7683,3841,8931,4466
秋田,4,88000,83000,93000,8668,4334,10076,5038
秋田,5,98000,93000,101000,9653,4826,11221,5610
秋田,6,104000,101000,107000,10244,5122,11908,5954
秋田,7,110000,107000,114000,10835,5417,12595,6297
秋田,8,118000,114000,122000,11623,5811,13511,6755
秋田,9,126000,122000,130000,12411,6205,14427,7213
秋田,10,134000,130000,138000,13199,6599,15343,7671
秋田,11,142000,138000,146000,13987,6993,16259,8129
秋田,12,150000,146000,155000,14775,7387,17175,8588
秋田,13,160000,155000,165000,15760,7880,18320,9160
秋田,14,170000,165000,175000,16745,8372,19465,9732
秋田,15,180000,175000,185000,17730,8865,20610,10305
秋田,16,190000,185000,195000,18715,9357,21755,10878
秋田,17,200000,195000,210000,19700,9850,22900,11450
秋田,18,220000,210000,230000,21670,10835,25190,12595
秋田,19,240000,230000,250000,23640,11820,27480,13740
秋田,20,260000,250000,270000,25610,12805,29770,14885
秋田,21,280000,270000,290000,27580,13790,32060,16030
秋田,22,300000,290000,310000,29550,14775,34350,17175
秋田,23,320000,310000,330000,31520,15760,36640,18320
秋田,24,340000,330000,350000,33490,16745,38930,19465
秋田,25,360000,350000,370000,35460,17730,41220,20610
秋田,26,380000,370000,395000,37430,18715,43510,21755
秋田,27,410000,395000,425000,40385,20192,46945,23472
秋田,28,440000,425000,455000,43340,21670,50380,25190
秋田,29,470000,455000,485000,46295,23147,53815,26907
秋田,30,500000,485000,515000,49250,24625,57250,28625
秋田,31,530000,515000,545000,52205,26102,60685,30342
秋田,32,560000,545000,575000,55160,27580,64120,32060
秋田,33,590000,575000,605000,58115,29057,67555,33778
秋田,34,620000,605000,635000,61070,30535,70990,35495
秋田,35,650000,635000,665000,64025,32012,74425,37212
秋田,36,680000,665000,695000,66980,33490,77860,38930
秋田,37,710000,695000,730000,69935,34968,81295,40648
秋田,38,750000,730000,770000,73875,36938,85875,42938
秋田,39,790000,770000,810000,77815,38907,90455,45227
秋田,40,830000,810000,855000,81755,40877,95035,47517
秋田,41,880000,855000,905000,86680,43340,100760,50380
秋田,42,930000,905000,955000,91605,45802,106485,53242
秋田,43,980000,955000,1005000,96530,48265,112210,56105
秋田,44,1030000,1005000,1055000,101455,50727,117935,58967
秋田,45,1090000,1055000,1115000,107365,53682,124805,62402
秋田,46,1150000,1115000,1175000,113275,56637,131675,65838
秋田,47,1210000,1175000,1235000,119185,59592,138545,69272
秋田,48,1270000,1235000,1295000,125095,62547,145415,72708
秋田,49,1330000,1295000,1355000,131005,65502,152285,76142
秋田,50,1390000,1355000,NA,136915,68458,159155,79578
山形,1,58000,NA,63000,5707,2854,6635,3318
山形,2,68000,63000,73000,6691,3346,7779,3890
山形,3,78000,73000,83000,7675,3838,8923,4462
山形,4,88000,83000,93000,8659,4330,10067,5034
山形,5,98000,93000,101000,9643,4822,11211,5606
山形,6,104000,101000,107000,10234,5117,11898,5949
山形,7,110000,107000,114000,10824,5412,12584,6292
山形,8,118000,114000,122000,11611,5806,13499,6750
山形,9,126000,122000,130000,12398,6199,14414,7207
山形,10,134000,130000,138000,13186,6593,15330,7665
山形,11,142000,138000,146000,13973,6986,16245,8122
山形,12,150000,146000,155000,14760,7380,17160,8580
山形,13,160000,155000,165000,15744,7872,18304,9152
山形,14,170000,165000,175000,16728,8364,19448,9724
山形,15,180000,175000,185000,17712,8856,20592,10296
山形,16,190000,185000,195000,18696,9348,21736,10868
山形,17,200000,195000,210000,19680,9840,22880,11440
山形,18,220000,210000,230000,21648,10824,25168,12584
山形,19,240000,230000,250000,23616,11808,27456,13728
山形,20,260000,250000,270000,25584,12792,29744,14872
山形,21,280000,270000,290000,27552,13776,32032,16016
山形,22,300000,290000,310000,29520,14760,34320,17160
山形,23,320000,310000,330000,31488,15744,36608,18304
山形,24,340000,330000,350000,33456,16728,38896,19448
山形,25,360000,350000,370000,35424,17712,41184,20592
山形,26,380000,370000,395000,37392,18696,43472,21736
山形,27,410000,395000,425000,40344,20172,46904,23452
山形,28,440000,425000,455000,43296,21648,50336,25168
山形,29,470000,455000,485000,46248,23124,53768,26884
山形,30,500000,485000,515000,49200,24600,57200,28600
山形,31,530000,515000,545000,52152,26076,60632,30316
山形,32,560000,545000,575000,55104,27552,64064,32032
山形,33,590000,575000,605000,58056,29028,67496,33748
山形,34,620000,605000,635000,61008,30504,70928,35464
山形,35,650000,635000,665000,63960,31980,74360,37180
山形,36,680000,665000,695000,66912,33456,77792,38896
山形,37,710000,695000,730000,69864,34932,81224,40612
山形,38,750000,730000,770000,73800,36900,85800,42900
山形,39,790000,770000,810000,77736,38868,90376,45188
山形,40,830000,810000,855000,81672,40836,94952,47476
山形,41,880000,855000,905000,86592,43296,100672,50336
山形,42,930000,905000,955000,91512,45756,106392,53196
山形,43,980000,955000,1005000,96432,48216,112112,56056
山形,44,1030000,1005000,1055000,101352,50676,117832,58916
山形,45,1090000,1055000,1115000,107256,53628,124696,62348
山形,46,1150000,1115000,1175000,113160,56580,131560,65780
山形,47,1210000,1175000,1235000,119064,59532,138424,69212
山形,48,1270000,1235000,1295000,124968,62484,145288,72644
山形,49,1330000,1295000,1355000,130872,65436,152152,76076
山形,50,1390000,1355000,NA,136776,68388,159016,79508
福島,1,58000,NA,63000,5562,2781,6490,3245
福島,2,68000,63000,73000,6521,3261,7609,3805
福島,3,78000,73000,83000,7480,3740,8728,4364
福島,4,88000,83000,93000,8439,4220,9847,4924
福島,5,98000,93000,101000,9398,4699,10966,5483
福島,6,104000,101000,107000,9974,4987,11638,5819
福島,7,110000,107000,114000,10549,5274,12309,6154
福島,8,118000,114000,122000,11316,5658,13204,6602
福島,9,126000,122000,130000,12083,6042,14099,7050
福島,10,134000,130000,138000,12851,6425,14995,7497
福島,11,142000,138000,146000,13618,6809,15890,7945
福島,12,150000,146000,155000,14385,7192,16785,8392
福島,13,160000,155000,165000,15344,7672,17904,8952
福島,14,170000,165000,175000,16303,8152,19023,9512
福島,15,180000,175000,185000,17262,8631,20142,10071
福島,16,190000,185000,195000,18221,9110,21261,10630
福島,17,200000,195000,210000,19180,9590,22380,11190
福島,18,220000,210000,230000,21098,10549,24618,12309
福島,19,240000,230000,250000,23016,11508,26856,13428
福島,20,260000,250000,270000,24934,12467,29094,14547
福島,21,280000,270000,290000,26852,13426,31332,15666
福島,22,300000,290000,310000,28770,14385,33570,16785
福島,23,320000,310000,330000,30688,15344,35808,17904
福島,24,340000,330000,350000,32606,16303,38046,19023
福島,25,360000,350000,370000,34524,17262,40284,20142
福島,26,380000,370000,395000,36442,18221,42522,21261
福島,27,410000,395000,425000,39319,19660,45879,22940
福島,28,440000,425000,455000,42196,21098,49236,24618
福島,29,470000,455000,485000,45073,22536,52593,26296
福島,30,500000,485000,515000,47950,23975,55950,27975
福島,31,530000,515000,545000,50827,25414,59307,29654
福島,32,560000,545000,575000,53704,26852,62664,31332
福島,33,590000,575000,605000,56581,28290,66021,33010
福島,34,620000,605000,635000,59458,29729,69378,34689
福島,35,650000,635000,665000,62335,31168,72735,36368
福島,36,680000,665000,695000,65212,32606,76092,38046
福島,37,710000,695000,730000,68089,34044,79449,39724
福島,38,750000,730000,770000,71925,35962,83925,41962
福島,39,790000,770000,810000,75761,37880,88401,44200
福島,40,830000,810000,855000,79597,39798,92877,46438
福島,41,880000,855000,905000,84392,42196,98472,49236
福島,42,930000,905000,955000,89187,44594,104067,52034
福島,43,980000,955000,1005000,93982,46991,109662,54831
福島,44,1030000,1005000,1055000,98777,49388,115257,57628
福島,45,1090000,1055000,1115000,104531,52266,121971,60986
福島,46,1150000,1115000,1175000,110285,55142,128685,64342
福島,47,1210000,1175000,1235000,116039,58020,135399,67700
福島,48,1270000,1235000,1295000,121793,60896,142113,71056
福島,49,1330000,1295000,1355000,127547,63774,148827,74414
福島,50,1390000,1355000,NA,133301,66650,155541,77770
茨城,1,58000,NA,63000,5603,2801,6531,3265
茨城,2,68000,63000,73000,6569,3284,7657,3828
茨城,3,78000,73000,83000,7535,3767,8783,4391
茨城,4,88000,83000,93000,8501,4250,9909,4954
茨城,5,98000,93000,101000,9467,4733,11035,5517
茨城,6,104000,101000,107000,10046,5023,11710,5855
茨城,7,110000,107000,114000,10626,5313,12386,6193
茨城,8,118000,114000,122000,11399,5699,13287,6643
茨城,9,126000,122000,130000,12172,6086,14188,7094
茨城,10,134000,130000,138000,12944,6472,15088,7544
茨城,11,142000,138000,146000,13717,6859,15989,7995
茨城,12,150000,146000,155000,14490,7245,16890,8445
茨城,13,160000,155000,165000,15456,7728,18016,9008
茨城,14,170000,165000,175000,16422,8211,19142,9571
茨城,15,180000,175000,185000,17388,8694,20268,10134
茨城,16,190000,185000,195000,18354,9177,21394,10697
茨城,17,200000,195000,210000,19320,9660,22520,11260
茨城,18,220000,210000,230000,21252,10626,24772,12386
茨城,19,240000,230000,250000,23184,11592,27024,13512
